cycle,energy_eh,residual_norm_eh,kind
-1,-116.60557901866713,0.004157518806825233,initial_exact_contraction
0,-116.60557901866716,0.004157518806825235,davidson_callback
1,-116.6055821031617,0.0032665116344812875,davidson_callback
2,-116.60558867443434,0.0036352584321890234,davidson_callback
3,-116.60559180818679,0.002636167160153416,davidson_callback
4,-116.60559372915179,0.0023548537227484558,davidson_callback
5,-116.6055952261974,0.0018710065128323837,davidson_callback
6,-116.6055963075968,0.0018744081895025447,davidson_callback
7,-116.60559716146929,0.0015078635705888701,davidson_callback
8,-116.6055976387401,0.0010991034588893644,davidson_callback
9,-116.60559788005827,0.0008529576447219075,davidson_callback
10,-116.60559807988419,0.0006938589111181804,davidson_callback
11,-116.6055982148495,0.0006578014737106234,davidson_callback
12,-116.60559841254353,0.0008609352543314759,davidson_callback
13,-116.60559865921589,0.000981542155356856,davidson_callback
14,-116.60559898009551,0.0006422773021019196,davidson_callback
15,-116.60559907810294,0.0008165144887750987,davidson_callback
16,-116.60559941089589,0.00109554353904983,davidson_callback
17,-116.60559974177514,0.0009472174946223165,davidson_callback
18,-116.60560002714195,0.0009918676581550999,davidson_callback
19,-116.60560037905746,0.0010686787430758521,davidson_callback
20,-116.60560100388992,0.0017911781988678942,davidson_callback
21,-116.60560212130798,0.0019287948421046934,davidson_callback
22,-116.60560317565047,0.0014312552885250508,davidson_callback
23,-116.60560370701496,0.0012702824589182113,davidson_callback
24,-116.60560410885759,0.0009739444376851048,davidson_callback
25,-116.60560440475419,0.001033318261337737,davidson_callback
26,-116.6056047404517,0.000982022570864849,davidson_callback
27,-116.60560521089344,0.0011694098305217826,davidson_callback
28,-116.60560553574155,0.0009528823708498584,davidson_callback
29,-116.6056058963797,0.0010666410974781652,davidson_callback
30,-116.60560624618714,0.00099504147156048,davidson_callback
31,-116.60560653118507,0.0010001876114672577,davidson_callback
32,-116.60560676689863,0.0006426872109758095,davidson_callback
33,-116.60560689825925,0.0006928476997988578,davidson_callback
34,-116.605607096755,0.0008923426631372588,davidson_callback
35,-116.60560739432893,0.0009264491875626409,davidson_callback
36,-116.60560759591925,0.0007600143701363961,davidson_callback
37,-116.60560775606285,0.0005883319478403874,davidson_callback
38,-116.60560786004771,0.0005992030235624937,davidson_callback
39,-116.60560795284125,0.0004590449801337633,davidson_callback
40,-116.60560803966763,0.0005128150130143478,davidson_callback
41,-116.60560811617808,0.0004566633251977309,davidson_callback
42,-116.60560817652379,0.0004763999628766582,davidson_callback
43,-116.60560825235072,0.00042206560756141346,davidson_callback
44,-116.60560831367589,0.0004863794574709826,davidson_callback
45,-116.60560839971838,0.0004512052137649927,davidson_callback
46,-116.60560844781288,0.0003614525610541362,davidson_callback
47,-116.60560848257172,0.00036007139049705147,davidson_callback
48,-116.60560855611261,0.000523633706199126,davidson_callback
49,-116.6056086492917,0.0005681726892091804,davidson_callback
50,-116.60560874964126,0.0004974479980163927,davidson_callback
51,-116.60560883278742,0.0005245733247783984,davidson_callback
52,-116.60560890726431,0.0004391667367807769,davidson_callback
